symbol,company,market_cap_cr,rank,cap_tier
500325,RELIANCE INDUSTRIES LTD.,1970806.49,1,Large
500180,HDFC BANK LTD.,1516760.98,2,Large
532454,BHARTI AIRTEL LTD.,1136206.71,3,Large
532540,TATA CONSULTANCY SERVICES LTD.,1129582.00,4,Large
532174,ICICI BANK LTD.,999123.08,5,Large
500112,STATE BANK OF INDIA,809938.33,6,Large
500209,INFOSYS LTD.,635239.14,7,Large
500034,BAJAJ FINANCE LIMITED,608134.07,8,Large
500696,HINDUSTAN UNILEVER LTD.,582491.65,9,Large
543526,LIFE INSURANCE CORPORATION OF,565211.08,10,Large
500510,LARSEN & TOUBRO LTD.,518705.11,11,Large
500875,ITC LTD.,511810.19,12,Large
532500,MARUTI SUZUKI INDIA LTD.,470436.83,13,Large
500520,MAHINDRA & MAHINDRA LTD.,431855.41,14,Large
532281,HCL TECHNOLOGIES LTD.,418792.29,15,Large
500247,KOTAK MAHINDRA BANK LTD.,415421.99,16,Large
524715,SUN PHARMACEUTICAL INDUSTRIES,404420.99,17,Large
532215,AXIS BANK LTD.,363130.14,18,Large
532538,ULTRATECH CEMENT LTD.,358018.85,19,Large
532978,BAJAJ FINSERV LTD.,324489.30,20,Large
500114,TITAN COMPANY LIMITED,323564.13,21,Large
532555,NTPC LTD.,323250.29,22,Large
541154,Hindustan Aeronautics Limited,309430.25,23,Large
532921,ADANI PORTS AND SPECIAL ECONOM,308622.99,24,Large
500312,OIL AND NATURAL GAS CORPORATIO,303870.15,25,Large
543320,Eternal Limited,297118.98,26,Large
500049,BHARAT ELECTRONICS LTD.,293001.17,27,Large
512599,ADANI ENTERPRISES LTD.,284353.71,28,Large
540376,Avenue Supermarts Limited,275699.87,29,Large
500228,JSW STEEL LTD.,270427.03,30,Large
533096,ADANI POWER LTD.,264347.71,31,Large
507685,WIPRO LTD.,263358.28,32,Large
532898,POWER GRID CORPORATION OF INDI,262670.09,33,Large
500820,ASIAN PAINTS LTD.,246424.12,34,Large
532977,BAJAJ AUTO LTD.,245111.96,35,Large
533278,COAL INDIA LTD.,237343.05,36,Large
500790,NESTLE INDIA LTD.,233639.46,37,Large
539448,InterGlobe Aviation Limited,219754.62,38,Large
530965,INDIAN OIL CORPORATION LTD.,216854.59,39,Large
500470,TATA STEEL LTD.,209335.94,40,Large
500570,TATA MOTORS PASSENGER VEHICLES,203406.63,41,Large
500188,HINDUSTAN ZINC LTD.,200291.02,42,Large
543940,Jio Financial Services Limited,197591.78,43,Large
